year,prod_qty_sum,prmsn_qty_sum
2005,876623068.75,195500367.0
2006,2687917453.5030003,2867951020.73
2007,2302833029.848,125171084.116
2008,19319548295.3265,109885672632.9765
2009,11070349345.008,113409847807.704
2010,14908164280.55185,153844866319.76385
2011,37322254158.29627,126529109491.68527

