"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
"대구광역시","성별",남자,100.0,0.9,12.1,43.3,33.7,9.9,100.0,1.0,11.8,43.7,30.2,13.4,100.0,0.8,9.7,47.4,31.9,10.2,100.0,1.7,11.3,50.3,28.8,7.8,100.0,0.8,12.8,47.2,32.0,7.2,100.0,1.8,15.4,46.1,30.3,6.4,100.0,2.3,11.3,51.1,27.5,7.8,100.0,2.8,14.2,50.9,25.3,6.7,100.0,4.3,18.0,49.4,23.4,4.9
"대구광역시","성별",여자,100.0,1.2,11.2,42.2,35.7,9.7,100.0,1.0,10.7,45.4,32.4,10.5,100.0,0.8,12.0,44.8,32.9,9.5,100.0,1.8,11.9,48.7,28.9,8.7,100.0,1.3,12.3,47.1,32.0,7.4,100.0,1.4,14.4,49.9,28.6,5.7,100.0,2.6,13.1,47.0,30.5,6.8,100.0,2.6,17.6,46.9,26.8,6.1,100.0,3.7,15.5,51.2,24.2,5.4
"인천광역시","전체",계,100.0,1.4,11.8,48.5,28.6,9.7,100.0,1.5,9.1,44.1,31.4,13.9,100.0,1.6,10.1,45.1,31.1,12.1,100.0,1.4,10.3,48.8,27.6,11.9,100.0,1.8,11.0,46.0,29.6,11.6,100.0,3.2,15.8,47.3,25.5,8.2,100.0,4.4,13.5,49.7,24.2,8.1,100.0,3.8,15.8,48.1,24.8,7.6,100.0,3.6,19.8,54.7,16.8,5.1
"인천광역시","성별",남자,100.0,0.8,12.0,49.1,28.9,9.2,100.0,1.4,8.7,45.6,29.7,14.6,100.0,1.6,9.4,46.5,30.4,12.1,100.0,1.2,11.0,48.0,29.7,10.1,100.0,1.3,12.0,47.1,27.5,12.0,100.0,3.1,15.6,47.4,26.2,7.7,100.0,5.1,13.6,51.0,21.6,8.7,100.0,3.1,16.9,50.0,23.6,6.4,100.0,3.6,19.9,54.9,15.8,5.8
"인천광역시","성별",여자,100.0,1.9,11.6,47.8,28.4,10.2,100.0,1.5,9.5,42.7,33.0,13.2,100.0,1.7,10.6,43.7,31.9,12.0,100.0,1.6,9.6,49.7,25.4,13.7,100.0,2.2,10.1,44.9,31.7,11.1,100.0,3.2,16.0,47.1,24.9,8.8,100.0,3.8,13.4,48.4,26.8,7.5,100.0,4.4,14.7,46.2,25.9,8.7,100.0,3.7,19.8,54.5,17.7,4.3
"광주광역시","전체",계,100.0,1.1,8.3,48.9,30.9,10.8,100.0,0.9,11.3,49.9,29.0,8.9,100.0,1.7,10.3,47.9,31.2,8.8,100.0,1.4,11.6,47.8,31.4,7.9,100.0,2.1,15.3,49.1,26.4,7.0,100.0,2.0,13.0,51.8,24.9,8.3,100.0,2.4,17.4,50.0,22.9,7.3,100.0,2.9,17.6,52.2,20.8,6.5,100.0,5.3,19.5,52.8,18.8,3.6
"광주광역시","성별",남자,100.0,1.1,8.6,49.8,30.4,10.1,100.0,0.8,11.9,50.0,28.2,9.0,100.0,1.5,11.1,48.7,30.6,8.0,100.0,1.2,12.8,48.6,29.1,8.3,100.0,2.0,16.5,48.0,26.6,6.9,100.0,1.5,13.1,53.7,22.6,9.0,100.0,2.7,15.6,53.4,20.2,8.1,100.0,3.6,18.4,51.9,19.3,6.8,100.0,5.9,18.9,52.1,19.5,3.7
"광주광역시","성별",여자,100.0,1.1,8.0,48.1,31.4,11.4,100.0,1.0,10.7,49.8,29.7,8.7,100.0,1.9,9.6,47.1,31.8,9.6,100.0,1.5,10.4,47.0,33.6,7.5,100.0,2.3,14.1,50.1,26.3,7.2,100.0,2.3,12.9,49.9,27.0,7.8,100.0,2.2,19.1,46.8,25.3,6.6,100.0,2.2,16.8,52.5,22.3,6.2,100.0,4.7,20.0,53.5,18.2,3.5
"대전광역시","전체",계,100.0,3.1,10.8,45.3,30.7,10.1,100.0,1.7,12.3,46.2,29.3,10.5,100.0,2.0,13.3,46.4,30.1,8.2,100.0,1.6,13.0,47.7,28.0,9.6,100.0,1.7,15.6,48.8,25.8,8.2,100.0,1.9,14.9,48.9,26.8,7.5,100.0,3.1,18.6,48.9,22.4,7.1,100.0,3.8,17.4,49.2,23.6,5.9,100.0,5.2,19.9,51.2,19.0,4.6
"대전광역시","성별",남자,100.0,3.3,10.8,47.1,29.2,9.5,100.0,1.7,11.1,48.7,28.1,10.4,100.0,2.0,12.1,47.9,29.7,8.3,100.0,1.8,12.9,49.2,27.0,9.1,100.0,1.0,17.5,49.3,24.7,7.4,100.0,1.7,15.2,51.3,25.2,6.6,100.0,2.9,17.6,48.8,23.6,7.0,100.0,4.6,15.8,52.3,20.8,6.6,100.0,6.4,19.9,49.7,19.9,4.1
"대전광역시","성별",여자,100.0,2.8,10.8,43.6,32.1,10.7,100.0,1.7,13.4,43.8,30.5,10.6,100.0,1.9,14.5,45.0,30.5,8.1,100.0,1.3,13.1,46.3,29.0,10.2,100.0,2.4,13.7,48.2,26.8,8.9,100.0,2.2,14.6,46.6,28.3,8.4,100.0,3.2,19.5,49.0,21.1,7.2,100.0,3.0,19.1,46.2,26.4,5.3,100.0,4.2,19.9,52.6,18.2,5.1
"울산광역시","전체",계,100.0,1.1,14.3,50.8,25.3,8.4,100.0,1.1,10.7,46.6,30.4,11.2,100.0,1.5,10.9,52.2,27.0,8.4,100.0,1.7,10.3,55.0,24.6,8.4,100.0,1.3,13.4,52.1,25.3,7.9,100.0,1.5,13.8,52.5,24.8,7.3,100.0,4.3,16.3,49.4,21.6,8.4,100.0,3.5,15.8,51.1,22.1,7.4,100.0,5.7,19.0,50.3,19.6,5.4
"울산광역시","성별",남자,100.0,1.5,14.1,51.8,24.9,7.7,100.0,0.8,9.6,49.2,29.0,11.4,100.0,1.9,10.9,53.5,25.0,8.6,100.0,1.4,11.0,55.0,24.2,8.4,100.0,1.6,13.2,53.2,24.3,7.7,100.0,1.0,14.5,50.3,26.3,7.9,100.0,3.0,14.5,52.4,22.3,7.8,100.0,3.5,17.1,51.2,21.2,6.9,100.0,6.6,18.9,50.5,18.5,5.4
"울산광역시","성별",여자,100.0,0.7,14.6,49.8,25.7,9.2,100.0,1.4,12.0,44.0,31.7,10.9,100.0,1.1,10.9,50.8,29.1,8.2,100.0,2.1,9.5,55.1,25.0,8.3,100.0,0.9,13.5,50.9,26.5,8.2,100.0,2.1,13.1,54.9,23.4,6.6,100.0,5.7,18.1,46.4,20.8,9.0,100.0,3.5,14.5,51.1,23.1,7.8,100.0,4.7,19.1,50.2,20.8,5.3
"세종특별자치시","전체",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,3.1,17.4,48.0,24.6,6.9,100.0,2.9,23.2,45.4,23.3,5.2,100.0,4.0,19.0,52.0,20.5,4.5,100.0,4.6,18.1,50.9,19.7,6.8,100.0,4.1,20.6,45.5,24.2,5.7,100.0,5.3,24.0,46.7,18.5,5.5
"세종특별자치시","성별",남자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,3.0,17.5,48.2,24.4,6.9,100.0,3.4,24.0,44.7,23.2,4.7,100.0,3.8,20.2,52.5,20.7,2.8,100.0,4.3,17.5,53.6,17.3,7.3,100.0,3.5,22.3,46.5,23.1,4.5,100.0,5.5,25.7,46.1,18.9,3.9
"세종특별자치시","성별",여자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,3.3,17.3,47.7,24.8,7.0,100.0,2.3,22.5,46.0,23.5,5.7,100.0,4.2,17.9,51.4,20.2,6.2,100.0,4.9,18.6,48.2,22.0,6.3,100.0,4.6,18.8,44.4,25.3,6.9,100.0,5.2,22.3,47.4,18.0,7.1
"경기도","전체",계,100.0,2.2,12.0,45.7,29.7,10.5,100.0,1.8,10.4,46.4,30.7,10.7,100.0,2.4,11.8,44.9,30.6,10.3,100.0,2.1,12.1,48.0,27.7,10.1,100.0,2.0,12.8,44.8,30.7,9.7,100.0,3.1,14.4,46.0,27.1,9.4,100.0,3.2,15.4,46.3,26.4,8.7,100.0,3.5,17.7,49.1,21.8,7.8,100.0,5.0,20.8,48.3,19.2,6.6
"경기도","성별",남자,100.0,2.3,12.2,46.9,28.2,10.4,100.0,1.1,10.3,48.4,30.2,10.0,100.0,2.3,11.2,46.2,29.6,10.7,100.0,2.2,11.7,48.7,27.9,9.5,100.0,1.5,13.1,47.3,29.0,9.1,100.0,3.0,15.0,46.7,25.6,9.7,100.0,3.1,15.6,46.7,25.9,8.7,100.0,3.0,17.8,50.9,20.5,7.8,100.0,4.6,21.0,50.6,17.3,6.5
"경기도","성별",여자,100.0,2.1,11.8,44.4,31.3,10.5,100.0,2.4,10.5,44.4,31.2,11.5,100.0,2.4,12.5,43.6,31.7,9.8,100.0,2.0,12.5,47.3,27.6,10.6,100.0,2.4,12.6,42.3,32.4,10.4,100.0,3.1,13.9,45.2,28.7,9.1,100.0,3.3,15.3,45.8,26.9,8.7,100.0,4.1,17.7,47.2,23.2,7.8,100.0,5.4,20.7,46.1,21.2,6.7
"강원특별자치도","전체",계,100.0,2.1,10.5,48.6,28.0,10.8,100.0,1.1,9.3,49.0,31.4,9.3,100.0,2.4,12.4,50.0,26.6,8.6,100.0,2.8,12.3,50.5,27.3,7.1,100.0,2.6,13.4,52.1,24.0,7.8,100.0,3.4,14.3,50.7,24.2,7.5,100.0,3.6,15.2,51.5,24.2,5.5,100.0,4.3,17.3,53.2,20.5,4.7,100.0,3.9,21.0,49.5,19.3,6.2
"강원특별자치도","성별",남자,100.0,2.8,11.0,48.8,25.7,11.7,100.0,1.1,9.6,50.6,29.3,9.3,100.0,2.4,12.6,52.2,24.5,8.3,100.0,3.4,13.4,50.6,25.4,7.2,100.0,3.7,13.8,53.4,22.8,6.3,100.0,3.4,13.9,54.1,20.9,7.8,100.0,3.5,16.8,51.0,23.5,5.3,100.0,5.0,17.4,54.1,18.9,4.7,100.0,4.2,22.1,49.7,18.7,5.3
