"세종",소계,616.7,652.8,654.5,658.1,724.2,677.5,628.9,710.6,701.7,635.3,714.8,682.7,692.6,692.3,671.9,682.9,678.3,664.7,621.9,622.5,595.9,621.6,609.2,607.9,594.9,653.2,642.5,653.3,618.1,661.0,652.0,647.3,661.1,640.3,643.1,613.2
"도",경기,566.1,548.8,530.5,544.3,596.1,630.3,676.8,681.0,680.7,657.6,644.8,632.8,643.9,624.9,658.2,655.6,630.0,597.7,577.8,560.8,554.5,544.7,590.3,588.6,618.8,645.0,624.6,645.3,667.2,672.5,667.3,660.4,657.8,608.9,596.9,612.6
"도",강원,239.5,229.8,225.4,225.6,236.7,236.6,245.9,253.5,250.9,261.6,261.0,253.3,252.7,254.3,257.0,268.9,262.8,260.2,250.7,257.2,242.3,246.4,236.5,244.5,255.0,266.4,262.8,267.8,265.6,279.2,279.5,288.6,288.4,289.4,281.0,275.5
"도",충북,248.1,246.7,233.6,230.4,243.1,239.2,255.6,270.3,283.1,271.2,264.7,251.2,255.4,243.2,244.8,251.5,254.4,251.2,242.5,227.5,233.2,236.5,229.9,254.3,266.2,285.1,276.8,274.7,286.4,293.5,291.4,291.4,302.7,280.6,276.5,277.2
"도",충남,246.5,239.8,240.6,241.0,248.3,258.7,262.7,268.8,278.5,273.1,262.2,257.3,260.1,248.4,252.6,255.2,247.0,236.5,240.4,244.2,234.4,244.3,245.2,258.6,280.7,286.6,270.5,278.1,280.7,286.6,285.5,281.6,286.8,269.4,269.5,263.5
"도",전북,199.2,200.6,202.2,213.4,223.0,224.7,232.6,251.3,254.1,234.6,231.4,238.9,238.0,230.0,235.8,243.8,246.6,234.1,225.7,224.9,212.3,234.6,235.5,232.7,249.6,258.7,254.5,255.9,272.6,269.8,266.9,268.5,263.8,249.1,249.0,266.4
"도",전남,214.8,213.3,210.1,213.1,223.5,227.6,237.3,236.0,246.2,245.5,234.3,226.2,230.7,216.5,239.4,221.5,227.0,222.5,231.2,221.7,213.0,201.2,213.0,211.5,237.3,236.0,228.7,225.6,227.6,252.4,248.4,237.0,234.9,231.0,234.3,240.4
"도",경북,213.0,215.3,210.8,211.7,223.1,228.5,239.5,247.0,242.5,224.9,219.3,224.8,218.0,214.4,215.4,217.5,221.8,222.9,217.8,211.8,218.6,210.0,216.6,219.2,230.6,241.7,233.8,242.3,240.4,247.7,251.5,245.3,247.2,238.8,242.1,238.0
"도",경남,257.6,253.5,260.5,267.9,293.3,293.7,303.7,329.0,332.5,311.8,296.0,294.0,288.1,286.8,286.8,290.7,287.3,278.2,275.3,278.7,275.9,283.9,276.6,285.1,323.3,321.5,310.2,317.0,317.0,330.0,332.1,336.9,321.4,306.4,294.3,308.5
"도",제주,393.7,415.3,408.4,446.9,452.8,414.7,414.3,491.4,466.4,448.2,394.2,404.5,400.5,409.9,455.7,465.9,452.1,454.2,380.0,429.0,445.7,394.3,403.3,386.4,429.2,440.6,439.0,462.0,471.8,470.5,452.7,476.3,464.1,443.7,436.7,467.9
